x, y,variant
-3, 36.32959750258364,XBB15
-3, 40.65561370092816,EG51
-3, 36.32959750258364,HV1
-3, 33.70445402321475,JD11
-3, 52.85998503335157,BA286
-3, 49.040370873850584,JN1
0, 89.35936318618218,XBB15
0, 82.90233735284946,EG51
0, 71.35430746892804,HV1
0, 76.91189029901696,JD11
0, 151.06125709271166,BA286
0, 189.17901686295565,JN1
3, 357.8870042123446,XBB15
3,582.7366228,EG51
3, 1061.8389010717729,HV1
3,582.7366228,JD11
3, 1665.3225825828354,BA286
3, 15801.454625851335,JN1
5, 2423.0636407345496,XBB15
5, 3395.819715284455,EG51
5, 2711.5945708856952,HV1
5, 1665.3225825828354,JD11
5, 5959.973101277358,BA286
5, 32221.319586873284,JN1
7, 119722.53273028239,XBB15
7, 33452.606918145546,EG51
7, 12617.612879359205,HV1
7, 28792.765993014586,JD11
7, 65703.66213126332,BA286
7, 578382.2863655612,JN1
9, 187765.42957553166,XBB15
9, 45156.79673704962,EG51
9, 60955.97561471778,HV1
9, 92080.86303671956,JD11
9, 139098.5092450865,BA286
9, 1224469.248707729,JN1
15, 34730.94596894971,XBB15
15, 7463.871766520005,EG51
15, 9347.253888631598,HV1
15, 4252.697531750849,JD11
15, 29893.036511231556,BA286
15, 37436.03996868943,JN1
21,582.7366228,XBB15
21, 501.56327894877234,EG51
21, 465.32077526759025,HV1
21,582.7366228,JD11
21, 189.17901686295565,BA286
21, 605.0049913719748,JN1
